"Name","Created","Runtime","End Time","Hostname","ID","Notes","GPU Type","State","Updated","Tags","CKAS/layer1","CKAS/layer2","CKAS/layer3","CKAS/layer4","CKAS/layer5","CKAS/layer6","TEST/accuracy","TRAIN/accuracy","TRAIN/loss"
"resnet18 imagenet shuffle_degree: 1 4 fintuning with 5000 samples","2024-01-16T15:19:42.000Z","5121","2024-01-16T16:45:03.000Z","risha","rlhzkog0","-","NVIDIA TITAN RTX","finished","2024-01-16T16:45:03.000Z","","0.9989790882313804","0.9992432228915188","0.998973704806516","0.9814635900828852","0.8844554416490205","0.5293441658371756","0","99.84","0.0379859631774342"
"vgg16 imagenet shuffle_degree: 9 3 fintuning with 5000 samples","2024-01-16T14:11:33.000Z","13179","2024-01-16T17:51:12.000Z","matar","2poi9wwg","-","NVIDIA TITAN RTX","finished","2024-01-16T17:51:12.000Z","","0.9937580995290158","0.991766976019022","0.9824830569122632","0.9677723244655602","0.847078376534035","0.27010249178776874","0","62.16","1.3260541125467629"
"resnet18 imagenet shuffle_degree: 1 3 fintuning with 5000 samples","2024-01-16T14:02:29.000Z","4586","2024-01-16T15:18:55.000Z","risha","28svbt0j","-","NVIDIA TITAN RTX","finished","2024-01-16T15:18:55.000Z","","0.9992526612721312","0.9990975919509067","0.9987672161952657","0.9839159448018964","0.8860842917119531","0.5411275736055493","0","99.82","0.03878959871021805"
"resnet18 imagenet shuffle_degree: 2 3 fintuning with 5000 samples","2024-01-16T14:02:29.000Z","5344","2024-01-16T15:31:33.000Z","risha","2oj3ds4h","-","NVIDIA TITAN RTX","finished","2024-01-16T15:31:33.000Z","","0.9992526612721312","0.9990975919509067","0.9987672161952657","0.9839159448018964","0.8860842917119531","0.5411275736055493","0","99.82","0.03878959871021805"
"vgg16 imagenet shuffle_degree: 4 3 fintuning with 5000 samples","2024-01-16T13:40:33.000Z","12835","2024-01-16T17:14:28.000Z","matar","27bgnaak","-","NVIDIA TITAN RTX","finished","2024-01-16T17:14:28.000Z","","0.9937580995290158","0.991766976019022","0.9824830569122632","0.9677723244655602","0.847078376534035","0.27010249178776874","0","62.16","1.3260541125467629"
"resnet18 imagenet shuffle_degree: 2 2 fintuning with 5000 samples","2024-01-16T12:42:38.000Z","4666","2024-01-16T14:00:24.000Z","risha","2cb2vnnn","-","NVIDIA TITAN RTX","finished","2024-01-16T14:00:24.000Z","","0.9992838679517678","0.999234766864076","0.9988938081849584","0.9800256878767118","0.8794577464805947","0.5315804695979486","0","99.78","0.03883493925403258"
"resnet18 imagenet shuffle_degree: 1 2 fintuning with 5000 samples","2024-01-16T12:42:38.000Z","4662","2024-01-16T14:00:20.000Z","risha","3ouuwvyd","-","NVIDIA TITAN RTX","finished","2024-01-16T14:00:20.000Z","","0.9992838679517678","0.999234766864076","0.9988938081849584","0.9800256878767118","0.8794577464805947","0.5315804695979486","0","99.78","0.03883493925403258"
"resnet18 imagenet shuffle_degree: 2 1 fintuning with 5000 samples","2024-01-16T11:31:23.000Z","4198","2024-01-16T12:41:21.000Z","risha","2ypmvssi","-","NVIDIA TITAN RTX","finished","2024-01-16T12:41:21.000Z","","0.999295058767889","0.9991342603536988","0.9989675369120375","0.9701379129286274","0.8847590327201247","0.5402195223605147","0","99.86","0.03615329021908295"
"resnet18 imagenet shuffle_degree: 1 1 fintuning with 5000 samples","2024-01-16T11:31:23.000Z","4200","2024-01-16T12:41:23.000Z","risha","350z9cv1","-","NVIDIA TITAN RTX","finished","2024-01-16T12:41:23.000Z","","0.999295058767889","0.9991342603536988","0.9989675369120375","0.9701379129286274","0.8847590327201247","0.5402195223605147","0","99.86","0.03615329021908295"
"resnet18 imagenet 5 fintuning with 5000 samples","2024-01-16T10:54:50.000Z","2178","2024-01-16T11:31:08.000Z","risha","3uqayp1a","-","NVIDIA TITAN RTX","finished","2024-01-16T11:31:08.000Z","","0.9989428816409316","0.9959397180981466","0.9979186755521062","0.9843244778855468","0.8606289876652686","0.4545645033624596","0","99.82","0.03987855363376201"
